1024-fp-regs_128-rob-entries_128-iq-entries,20202216,0
1024-fp-regs_128-rob-entries_16-iq-entries,20199509,0
1024-fp-regs_128-rob-entries_256-iq-entries,20202216,0
1024-fp-regs_128-rob-entries_32-iq-entries,20201034,0
1024-fp-regs_128-rob-entries_4-iq-entries,5645879,20196289
1024-fp-regs_128-rob-entries_64-iq-entries,20202007,0
1024-fp-regs_128-rob-entries_8-iq-entries,20198627,67
1024-fp-regs_16-rob-entries_128-iq-entries,1875114,49
1024-fp-regs_16-rob-entries_16-iq-entries,1875117,49
1024-fp-regs_16-rob-entries_256-iq-entries,1875114,49
1024-fp-regs_16-rob-entries_32-iq-entries,1875114,49
1024-fp-regs_16-rob-entries_4-iq-entries,10656216,20196260
1024-fp-regs_16-rob-entries_64-iq-entries,1875114,49
1024-fp-regs_16-rob-entries_8-iq-entries,20198351,60
1024-fp-regs_256-rob-entries_128-iq-entries,20202693,0
1024-fp-regs_256-rob-entries_16-iq-entries,20199509,0
1024-fp-regs_256-rob-entries_256-iq-entries,20203109,0
1024-fp-regs_256-rob-entries_32-iq-entries,20201080,0
1024-fp-regs_256-rob-entries_4-iq-entries,5645879,20196289
1024-fp-regs_256-rob-entries_64-iq-entries,20202056,0
1024-fp-regs_256-rob-entries_8-iq-entries,20198627,67
1024-fp-regs_32-rob-entries_128-iq-entries,20199704,0
1024-fp-regs_32-rob-entries_16-iq-entries,20199280,0
1024-fp-regs_32-rob-entries_256-iq-entries,20199704,0
1024-fp-regs_32-rob-entries_32-iq-entries,20199704,0
1024-fp-regs_32-rob-entries_4-iq-entries,10656238,20196289
1024-fp-regs_32-rob-entries_64-iq-entries,20199704,0
1024-fp-regs_32-rob-entries_8-iq-entries,20198598,67
1024-fp-regs_4-rob-entries_128-iq-entries,14166658,20195489
1024-fp-regs_4-rob-entries_16-iq-entries,14166658,20195489
1024-fp-regs_4-rob-entries_256-iq-entries,14166658,20195489
1024-fp-regs_4-rob-entries_32-iq-entries,14166658,20195489
1024-fp-regs_4-rob-entries_4-iq-entries,14166660,20195484
1024-fp-regs_4-rob-entries_64-iq-entries,14166658,20195489
1024-fp-regs_4-rob-entries_8-iq-entries,14166658,20195489
1024-fp-regs_64-rob-entries_128-iq-entries,20201225,0
1024-fp-regs_64-rob-entries_16-iq-entries,20199483,0
1024-fp-regs_64-rob-entries_256-iq-entries,20201225,0
1024-fp-regs_64-rob-entries_32-iq-entries,20200951,0
1024-fp-regs_64-rob-entries_4-iq-entries,5645879,20196289
1024-fp-regs_64-rob-entries_64-iq-entries,20201225,0
1024-fp-regs_64-rob-entries_8-iq-entries,20198627,67
1024-fp-regs_8-rob-entries_128-iq-entries,9183769,20196411
1024-fp-regs_8-rob-entries_16-iq-entries,9183769,20196411
1024-fp-regs_8-rob-entries_256-iq-entries,9183769,20196411
1024-fp-regs_8-rob-entries_32-iq-entries,9183769,20196411
